DATE,T10YIE
13/11/2019,1.66
14/11/2019,1.62
15/11/2019,1.63
18/11/2019,1.63
19/11/2019,1.63
20/11/2019,1.6
21/11/2019,1.63
22/11/2019,1.62
25/11/2019,1.62
26/11/2019,1.62
27/11/2019,1.63
29/11/2019,1.61
02/12/2019,1.65
03/12/2019,1.63
04/12/2019,1.66
05/12/2019,1.67
06/12/2019,1.69
09/12/2019,1.69
10/12/2019,1.71
11/12/2019,1.69
12/12/2019,1.72
13/12/2019,1.7
16/12/2019,1.73
17/12/2019,1.75
18/12/2019,1.76
19/12/2019,1.77
20/12/2019,1.77
23/12/2019,1.75
24/12/2019,1.75
26/12/2019,1.74
27/12/2019,1.73
30/12/2019,1.75
31/12/2019,1.77
02/01/2020,1.8
03/01/2020,1.77
06/01/2020,1.75
07/01/2020,1.74
08/01/2020,1.75
09/01/2020,1.74
10/01/2020,1.76
13/01/2020,1.77
14/01/2020,1.77
15/01/2020,1.75
16/01/2020,1.74
17/01/2020,1.75
21/01/2020,1.74
22/01/2020,1.72
23/01/2020,1.7
24/01/2020,1.68
27/01/2020,1.63
28/01/2020,1.65
29/01/2020,1.64
30/01/2020,1.64
31/01/2020,1.65
03/02/2020,1.63
04/02/2020,1.64
05/02/2020,1.66
06/02/2020,1.67
07/02/2020,1.66
10/02/2020,1.66
11/02/2020,1.65
12/02/2020,1.66
13/02/2020,1.67
14/02/2020,1.66
18/02/2020,1.65
19/02/2020,1.65
20/02/2020,1.63
21/02/2020,1.61
24/02/2020,1.59
25/02/2020,1.53
26/02/2020,1.54
27/02/2020,1.53
28/02/2020,1.41
02/03/2020,1.41
03/03/2020,1.45
04/03/2020,1.46
05/03/2020,1.4
06/03/2020,1.31
09/03/2020,0.99
10/03/2020,1
11/03/2020,0.96
12/03/2020,0.92
13/03/2020,0.9
16/03/2020,0.73
17/03/2020,0.63
18/03/2020,0.63
19/03/2020,0.5
20/03/2020,0.75
23/03/2020,0.8
24/03/2020,0.97
25/03/2020,1.07
26/03/2020,1.07
27/03/2020,0.94
30/03/2020,0.95
31/03/2020,0.87
01/04/2020,0.91
02/04/2020,1.03
03/04/2020,1.08
06/04/2020,1.14
07/04/2020,1.17
08/04/2020,1.19
09/04/2020,1.23
13/04/2020,1.26
14/04/2020,1.29
15/04/2020,1.19
16/04/2020,1.03
17/04/2020,1.01
20/04/2020,0.94
21/04/2020,0.96
22/04/2020,1.06
23/04/2020,1.05
24/04/2020,1.11
27/04/2020,1.17
28/04/2020,1.14
29/04/2020,1.14
30/04/2020,1.07
01/05/2020,1.06
04/05/2020,1.07
05/05/2020,1.1
06/05/2020,1.1
07/05/2020,1.08
08/05/2020,1.12
11/05/2020,1.13
12/05/2020,1.09
13/05/2020,1.07
14/05/2020,1.06
15/05/2020,1.09
18/05/2020,1.17
19/05/2020,1.15
20/05/2020,1.16
21/05/2020,1.14
22/05/2020,1.12
26/05/2020,1.13
27/05/2020,1.14
28/05/2020,1.18
29/05/2020,1.15
01/06/2020,1.18
02/06/2020,1.18
03/06/2020,1.21
04/06/2020,1.22
05/06/2020,1.27
08/06/2020,1.28
09/06/2020,1.26
10/06/2020,1.27
11/06/2020,1.21
12/06/2020,1.21
15/06/2020,1.23
16/06/2020,1.27
17/06/2020,1.26
18/06/2020,1.28
19/06/2020,1.3
22/06/2020,1.34
23/06/2020,1.38
24/06/2020,1.33
25/06/2020,1.33
26/06/2020,1.32
29/06/2020,1.34
30/06/2020,1.34
01/07/2020,1.37
02/07/2020,1.41
06/07/2020,1.45
07/07/2020,1.43
08/07/2020,1.42
09/07/2020,1.39
10/07/2020,1.41
13/07/2020,1.42
14/07/2020,1.41
15/07/2020,1.41
16/07/2020,1.41
17/07/2020,1.46
20/07/2020,1.46
21/07/2020,1.48
22/07/2020,1.48
23/07/2020,1.49
24/07/2020,1.51
27/07/2020,1.52
28/07/2020,1.51
29/07/2020,1.53
30/07/2020,1.52
31/07/2020,1.55
03/08/2020,1.58
04/08/2020,1.57
05/08/2020,1.61
06/08/2020,1.63
07/08/2020,1.61
10/08/2020,1.61
11/08/2020,1.63
12/08/2020,1.67
13/08/2020,1.67
14/08/2020,1.65
17/08/2020,1.66
18/08/2020,1.68
19/08/2020,1.67
20/08/2020,1.62
21/08/2020,1.64
24/08/2020,1.67
25/08/2020,1.7
26/08/2020,1.72
27/08/2020,1.73
28/08/2020,1.77
31/08/2020,1.8
01/09/2020,1.76
02/09/2020,1.73
03/09/2020,1.65
04/09/2020,1.7
08/09/2020,1.68
09/09/2020,1.71
10/09/2020,1.69
11/09/2020,1.65
14/09/2020,1.65
15/09/2020,1.67
16/09/2020,1.68
17/09/2020,1.66
18/09/2020,1.67
21/09/2020,1.62
22/09/2020,1.62
23/09/2020,1.6
24/09/2020,1.58
25/09/2020,1.58
28/09/2020,1.61
29/09/2020,1.64
30/09/2020,1.63
01/10/2020,1.63
02/10/2020,1.64
05/10/2020,1.68
06/10/2020,1.66
07/10/2020,1.71
08/10/2020,1.72
09/10/2020,1.73
13/10/2020,1.7
14/10/2020,1.69
15/10/2020,1.69
16/10/2020,1.71
19/10/2020,1.71
20/10/2020,1.72
21/10/2020,1.74
22/10/2020,1.76
23/10/2020,1.75
26/10/2020,1.72
27/10/2020,1.71
28/10/2020,1.7
29/10/2020,1.71
30/10/2020,1.7
02/11/2020,1.71
03/11/2020,1.72
04/11/2020,1.64
05/11/2020,1.66
06/11/2020,1.65
09/11/2020,1.73
10/11/2020,1.76
12/11/2020,1.71
13/11/2020,1.72
